# omega_b	omega_cdm	h	ln10^{10}A_s	n_s	tau_reio	delta_Neff_drmd	f_idm_drmd	log10z_stop
0.02291853	0.1283627	0.7294887	3.105224	0.9743015	0.09132511	0.6394792	0.9402497	4.521581
0.023438599	0.1215509	0.739685	3.086677	0.9765709	0.09325509	0.4818049	0.6323549	4.961627
0.02343457	0.1199107	0.7392908	3.076994	0.9870813	0.09128601	0.4104932	0.7756075	3.408315
0.02340998	0.1179983	0.7203664	3.100982	0.9930682	0.09921415	0.2170495	0.4369931	2.712621
0.02349254	0.1156043	0.740186	3.087956	0.9975593	0.09898415	0.2755078	0.7659323	3.383562
0.02361515	0.1269442	0.7687669	3.072473	0.9955712	0.09510912	0.8709064	0.5169755	2.171442
0.023274349	0.1236104	0.7212093	3.05614	0.9771683	0.0743861	0.3724287	0.5691091	2.798592
0.022831649	0.1237302	0.7079023	3.079826	0.9709324	0.07551381	0.2805388	0.5107308	4.121115
0.02302406	0.1203408	0.7428451	3.070417	0.9869743	0.07984133	0.4488281	0.7678668	2.590798
0.022652248	0.1225749	0.7271116	3.062878	0.9800583	0.07261201	0.4469722	0.3314511	2.351578
0.02318465	0.132946	0.7584121	3.084207	0.9706817	0.08169187	0.9938559	0.8261987	3.096672
0.02300611	0.1292792	0.734486	3.062968	0.9710241	0.07673104	0.7051514	0.9367452	2.669995
0.023370959	0.1263289	0.7557659	3.06791	0.9766912	0.08017687	0.7611667	0.773832	2.16162
0.023558669	0.1257683	0.7550661	3.055319	0.9750053	0.07894256	0.7256348	0.4956394	2.061862
0.02333028	0.1222965	0.7195441	3.065735	0.9747015	0.06998433	0.2950133	0.8740675	3.095801
0.02287612	0.1226032	0.7018824	3.03146	0.97873	0.05889173	0.1820617	0.6917609	2.975194
0.02290329	0.1255681	0.6945836	3.022751	0.9831978	0.0578059	0.2558909	0.9804996	3.903643
0.02308854	0.1288027	0.7109055	3.026654	0.9806771	0.05726463	0.4765858	0.9243748	3.498592
0.023020068	0.124378	0.7104157	3.054361	0.9854436	0.06987106	0.3237604	0.8594906	2.595322
0.02297823	0.1244589	0.7195794	3.073139	0.9833086	0.07045602	0.4080971	0.4834648	2.024507
0.02289188	0.1226131	0.732019	3.079719	0.9845686	0.08663336	0.5277299	0.05836078	2.419546
